response_concept_id,format_value
766964355,5= Associate's degree
767775934,9=KPGA RRL
768457546,"131 = Korea, Republic Of"
768826601,"0 = White, Non-Hispanic"
768887460,0 = Precision
769594361,31 = Fargo Amber Valley
770236544,"0 = No, I never experienced this"
770550588,0 = I had surgery to remove one Testicle
771230670,6 = 61-65
772116457,2 = Replacement 2 Kit
773207854,0 = Very hot
773342525,1=Spanish
773860876,"1 = I am having technical issues or glitches, like problems with the survey loading, answers saving, and/or submitting"
773963342,"6=V, 5th"
774439579,1 = Slight chance
775512390,1 = Partially boxed
776030694,1 = Hot
777433416,0 = Too much time
777644826,0 = UC-DCAM
777809207,4= Dark Brown
777814771,"5 = $75,000-$99,999/year"
778052314,0 = I lived at a previous address already entered [Insert list of previously entered residences for participants to select from (from HOMEADD1 - HOMEADD3)]
778149970,101 = Guam
780612099,93 = Germany
782282163,"8 = Mild hair loss across the entire forehead, but not as far back as the ears."
783769681,29 = Bosnia And Herzegovina
784166628,"0 = No, I had a different job in 2019"
784922042,3 = Related to me in some other way
785578696,6=Hispanic/Latino/White
786431761,"3 = More than 5 years ago, but less than 10 years ago"
786642491,169 = Netherlands
786757575,3=Site PI listed on the site-specific consent form
787648987,40 = Cote D’Ivoire
787809831,162 = Montserrat
788910861,78 = Ethiopia
789467219,3=Not Yet Eligible
790896268,76 = Estonia
793072415,2 = Other phone
793320798,3= Some of the time
793820915,183 = Pakistan
794205182,44 = Canada
794247035,9 = Antarctica
794707854,64 = Czechoslovakia
794883510,125 = Johnston Island
796081734,"2 = More than 6 months ago, but in the past year"
797736697,2= A few days per week
798542346,270 = Zimbabwe
798682161,10 = Mac (Apple)
798915634,3 = Variant C
799410640,88 = French Southern Territories
799996283,18 = Bahrain
800179850,2= Some freckles
801142243,4= More than 4 years
801218076,"2 = Yes, because of hormonal medication or device"
802197176,2 =More than 1 year ago
802747980,1 = February
803323592,210 = Sao Tome And Principe
803970496,2 = Not enough - I want to get more emails and/or text messages
804230076,141 = Lithuania
804785430,"3 = Yes, every day"
804918759,2 = phone
805449318,1 = 11 to 49
805619774,233 = Switzerland
805712793,4 = Genderqueer
805918496,6 = 3 hours or more
807443231,24 = BCC- All Saints (FW)
807574160,0 = Very easy
807835037,55=Other |__|
809254094,75 = Eritrea
809370237,26 = BCC- Worth St
809559004,192 = Pitcairn
809703864,8 = University of Chicago Medicine
810290359,1 = Adopted
812047427,198 = Romania
813412950,34 = Neillsville
813701399,2 = Weston
814227464,6 = Andorra
814242010,4 = Few times per month
814359943,249 = Uganda
816566846,"1 = Yes, I currently work at the same job I had in 2019"
817514412,0 = Spouse/partner
819206475,239 = Timor-Leste
827912537,73 = El Salvador
830279557,"7 = No, I want to add another seasonal or vacation home address (7th address)"
830573274,2 = Intersex or other- Site Reported
830677489,3 = More than 4 weeks ago
831495016,224 = South Georgia And The South Sandwich Islands
831942158,8 = Questioning
832322940,77 = Don't know
832978839,5 = Mostly Straight
834544960,5=Geographic group
834672471,"9 = No, I want to enter another address (9th address)"
834817071,1= Light
834825425,4 = HP Research Clinic
835040610,260 = Viet Nam
835682347,2= 3 shots
838317013,1= As medicine
838336013,5= 250 times or more
838403733,2= Average quality
838480167,12=Henry Ford Medical Center- Fairlane
838981994,3=6 to 9 hours per day
839266527,2 = Heavier than average
840154550,1 = Aland Islands
840678879,11 = December
842005720,5 = June
847056701,4=Chair of the Site IRB
847945207,3=Breast
847965227,1 = Agree
849527480,2 = Address printed
850675416,4 = Two or more times per day
850988661,2 = Afghanistan
852689772,36 = HFH In-Home Collection
854021266,4 = Withdrew consent
854288752,197 = Reunion
854349138,4 = Pansexual
854703046,2 = Passive
854903954,2 = Passive to Active
856158129,27 = BCC- Irving
856483344,140 = Liechtenstein
858059214,"261 = Viet-Nam, Democratic Republic Of"
858140434,240 = Togo
858244199,4 = Pregnancy loss after 20 weeks
858427002,1= Less than 21 days
858533438,124 = Jersey
858624942,5= Once per day
858866416,1= Green
859025516,3 = Less than 21 days -> PREG
859999856,250 = Ukraine
862918284,0 = Less than 10 days per month
863246236,8=Kidney
864987193,48 = Plano Heart
865130944,128 = Kenya
865134801,5= One day per month
866029623,2 = Not Active recruit signed in as an Active recruit
868025301,0 = Within 1 year
868504994,3=My periods stopped after endometrial ablation (removal of the endometrium lining of the uterus)
870960085,"235 = Taiwan, Province Of China"
871234413,256 = Uruguay
871673221,"1 = Half sibling, same mother"
872012139,3 = Revoked HIPAA only
872738595,126 = Jordan
873138103,3 = Transgender Woman
875007964,0 = Not yet verified
875207881,0=No Check Ran
875342283,6= College graduate Bachelor's degree
878286618,2 = Somewhat feminine
878535894,4 = Very poor
879259647,195 = Puerto Rico
881405646,87 = French Southern And Antarctic Territories
882964022,32 = Brazil
883062033,81 = Fiji
883331099,10 = Previous address 10
884452262,6 = Data destroyed
886364332,6 = HFH Cancer Pavilion Research Clinic
887495026,7 = August
889386523,3 = Supply Unavailable
890182396,3 = IHCS Staff
890756124,4= Technical or trade school after high school
891558680,"1 = More than a month ago, but in the past 6 months"
893352695,120 = Israel
895850605,184 = Palau
896010519,4 = Variant D
897038099,2 = 3 days per week
897079279,61 = Curacao
897599966,2 = Taller than average
897758920,0 = START
899670578,3= A tan with no sunburn
900343645,4= 5 servings
901521065,2= Face/Head only
901693169,0 = A public or municipal water supply
902131456,1 = About average build
902342161,4 = Previous address 4
902344770,34 = British Indian Ocean Territory
903084185,"1 = Lesbian, gay, or homosexual"
905073380,0 = All sun exposed areas
905244901,228 = Sri Lanka
905402667,3= 4 servings
907579123,4= Always
907647407,60 = Cuba
909774794,2=My periods stopped after surgery that removed my uterus and/or both ovaries
910533468,0 = Letter without PIN
910745276,3 = Equally feminine and masculine
911299066,"7=VI, 6th"
911683679,39 = HFH Detroit Northwest
912770257,165 = Myanmar
913602274,"7 = $150,000-$199,999/year"
913612617,48 = Chad
914302382,1= 2 shots
915528806,6 = Very masculine
915557297,"2 = Moderate hair loss at the sides of the forehead as far back as the ears, and mild loss from the center of the forehead."
917379905,"6 = Severe hair loss on the top of the head, and the hair along the forehead is thinning."
919739344,6 = 3 to 4 hours
922395188,"6 = $100,000-$149,999/year"
922622075,3 = Duplicate
922737557,3= 5 to 9
924690260,3 = Disagree
924926068,"1= Every day, less than 2 hours each day"
926338735,0=Random
927477599,1 = Very Good
927925620,0 = Full head of hair with no hair loss.
928018967,130 = Korea (Democratic People'S Republic Of)
928670216,5 = Previous address 5
928753604,3= 3 days
929148006,3= A little flexible
931688701,"1 = Yes, I am experiencing this now"
931702107,102 = Guatemala
932938375,82 = Finland
933459343,172 = New Zealand
934779560,4 = Over 10 times
935486262,3 = Cancer Connection General
935502060,"1= Some high school grades 9-11, no diploma"
936042740,"2 = Yes, in the past two days"
936573532,1=Vaginal
939019279,242 = Tonga
939110313,1= 1 to 2 years
939235325,2= 3 glasses
939572698,0=Member of IHCS Health Plan
939782495,0=Anal
940329442,20 = Orland Park
940801246,3 = Hard
942970912,5=Colon/rectal
943427992,1 = Variant A
943488874,0 = google.com
945387130,4= 10 or more
948148236,1 = Between 1 and 3 months
948428087,4 = Algeria
948464607,0 = Too long - the survey had far too many questions
948593796,2 = Exceeding
949555271,8 = 7 to 8 hours
950039557,1= A few times per year
950591599,1= Most of the time
951382049,181 = Oman
951405762,"56 = Congo, Democratic Republic Of The"
952212668,1 = The day before
953684708,2= 3 to 4
954318357,2=Louder than talking
955466797,244 = Tunisia
955755777,"5 = No, I want to add another seasonal or vacation home address (5th address)"
956773164,117 = Iraq
956935470,"10 = No, I want to add another seasonal or vacation home address (10th address)"
958395496,8 = Anguilla
958538953,"1=Yes, in the past 3 months"
959021713,"4=III, 3rd"
959256218,35 = Brunei Darussalam
959293914,231 = Svalbard And Jan Mayen
959888441,41 = Cabo Verde
960134562,193 = Poland
960288496,12 = You have entered the maximum number of addresses. You will proceed to the next questions.
961021302,1= 1 to 2
962830330,38 = Waco - MacArthur
963430874,175 = Nigeria
965707001,3 = Active to Passive
965998904,9=Pacific Islander
967156738,"1 = I had both of my breasts removed, each during a separate surgery"
967681778,1 = 6 to 30 minutes
967860885,65 = Dahomey
968093023,0 = 1 serving
969318635,"9 = No, I want to add another seasonal or vacation home address (9th address)"
970716952,1 = I had surgery to remove both Testicles
971933131,"5 = Didn't use chewing tobacco, snus, snuff, or dip during this time"
972455046,0=Not Started
974230748,"1 = Yes, in the past day"
976461859,0 = Mouthwash Kit
976555124,"1 = $10,000-$24,999/year"
977681388,3 = High Chance
978204320,0 = Grade school grades 1-8
979256174,4 = Passive recruit signed in as Active recruit
982400065,216 = Sikkim
983318667,1 = Man
983848564,14 = Colby Abbotsford
985034149,8 = Lenovo Tab
986445321,66=Blank
988858078,0 = 1 (a little pain)
988873962,2= Somewhat flexible
989841129,176 = Niue
990319383,14=Melanoma (skin)
991158851,"0 = No, I want to add a seasonal or vacation home address"
992291267,150 = Marshall Islands
994855651,45 = Canton And Enderbury Islands
994945603,110 = Honduras
995011901,246 = Turkmenistan
995736452,1= 15 to 20
996315715,4 = 3 to 4 days per week
996867481,96 = Gilbert And Ellice Islands
998679771,2 = 31 to 59 minutes
999994434,2 = Bisexual
N/A,
